PPX_accession	PPX_accession__url	PPX_accession_version	PPX_accession_version__url	INSDC_accession_version	INSDC_accession_version__url	strain	date	region	country	division	location	length	host	date_released	date_updated	sra_accession	authors	full_authors	institution	dataUseTerms	dataUseTerms__url	restrictedUntil	displayName	Pathoplexus_group	Pathoplexus_group_id	Pathoplexus_group__url	submission_database	clade	outbreak	lineage	coverage	missing_data	divergence	nonACGTN	private_substitutions	QC_missing_data	QC_mixed_sites	QC_rare_mutations	QC_frame_shifts	QC_stop_codons	frame_shifts	is_reverse_complement
PP_000UMKK	https://pathoplexus.org/seq/PP_000UMKK	PP_000UMKK.2	https://pathoplexus.org/seq/PP_000UMKK.2	OP450996.1	https://www.ncbi.nlm.nih.gov/nuccore/OP450996.1	MPXV_USA_2022_TN0002	2022-07-XX	North America	USA	Tennessee		197214	Homo sapiens	2022-09-16	2025-02-03	SRR21677086	Gigante et al.	Gigante, C. M.; Thomas, L.; Zhao, H.; Batra, D.; Hetrick, E. E.; Howard, D. T.; Kovar, L.; Seabolt, M. H.; Weigand, M. R.; Burroughs, M.; Lee, J.; Wilkins, K.; McCollum, A.; Hutson, C.; Davidson, W.; Rao, A.; Dunn, J.; Li, Y.	CDC, DHCPP-PRB	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		USA/PP_000UMKK.2/2022-07	Automated Ingest from INSDC/NCBI Virus by Loculus	1	https://pathoplexus.org/group/1	INSDC	IIb	sh2017	B.1.8	0.999954363137585	9	73	0	0	good	good	good	good	good		false
PP_000USXQ	https://pathoplexus.org/seq/PP_000USXQ	PP_000USXQ.1	https://pathoplexus.org/seq/PP_000USXQ.1	OP535329.1	https://www.ncbi.nlm.nih.gov/nuccore/OP535329.1	MPXV_Nigeria_2018_5305	2018-03-XX	Africa	Nigeria	Rivers		197228	Homo sapiens	2022-12-25	2024-12-09		Nnaemeka et al.	Nnaemeka, N.; Akanbi, O.; Chukwu, C.; Ayansola, O.; Ahmad, A.; Yinka-Ogunleye, A.; Akinpelu, A.; Babatunde, O.; Ihekweazu, C.; Adetifa, I.; Mauldin, M. R.; Gigante, C. M.; Batra, D.; Weigand, M.; Howard, D.; Sheth, M.; Seabolt, M. H.; Li, Y.	Nigeria Centre for Disease Control, National Reference Laboratory	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		Nigeria/PP_000USXQ.1/2018-03	Automated Ingest from INSDC/NCBI Virus by Loculus	1	https://pathoplexus.org/group/1	INSDC	IIb	sh2017	A	1	0	11	0	2	good	good	good	good	good		false
PP_000VBKT	https://pathoplexus.org/seq/PP_000VBKT	PP_000VBKT.1	https://pathoplexus.org/seq/PP_000VBKT.1	OP612684.1	https://www.ncbi.nlm.nih.gov/nuccore/OP612684.1	MPXV/046/19	2019-05-XX	Africa	Nigeria			197514	Homo sapiens	2022-10-11	2024-12-09		Ndodo et al.	Ndodo, N.; Ashcroft, J.; Lewandowski, K.; Yinka-Ogunleye, A.; Chukwu, C.; Ahmad, A.; King, D.; Akinpelu, A.; Maluquer de Motes, C.; Ribeca, P.; Summer, R. P.; Rambaut, A.; Chester, M.; Maishman, T.; Babatunde, O.; Mba, N.; Aruna, O.; Pullan, S. T.; Gannon, B.; Brown, C.; Ihekweazu, C.; Adetifa, I.; Ulaeto, D. O.	Defence Science and Technology Laboratory, Chemical, Biological and Radiological Sciences	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		Nigeria/PP_000VBKT.1/2019-05	Automated Ingest from INSDC/NCBI Virus by Loculus	1	https://pathoplexus.org/group/1	INSDC	IIb	sh2017	A	0.997089382330421	0	18	0	0	good	good	good	mediocre	good	OPG097:264-345,OPG109:115-796,OPG138:5-191	false
PP_000VBPK	https://pathoplexus.org/seq/PP_000VBPK	PP_000VBPK.1	https://pathoplexus.org/seq/PP_000VBPK.1	OP612688.1	https://www.ncbi.nlm.nih.gov/nuccore/OP612688.1	MPXV/104/19	2019-11-02	Africa	Nigeria			197087	Homo sapiens	2022-10-11	2024-12-09		Ndodo et al.	Ndodo, N.; Ashcroft, J.; Lewandowski, K.; Yinka-Ogunleye, A.; Chukwu, C.; Ahmad, A.; King, D.; Akinpelu, A.; Maluquer de Motes, C.; Ribeca, P.; Summer, R. P.; Rambaut, A.; Chester, M.; Maishman, T.; Babatunde, O.; Mba, N.; Aruna, O.; Pullan, S. T.; Gannon, B.; Brown, C.; Ihekweazu, C.; Adetifa, I.; Ulaeto, D. O.	Defence Science and Technology Laboratory, Chemical, Biological and Radiological Sciences	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		Nigeria/PP_000VBPK.1/2019-11-02	Automated Ingest from INSDC/NCBI Virus by Loculus	1	https://pathoplexus.org/group/1	INSDC	IIb	sh2017	A.1	0.997946341191325	5	32	0	14	good	good	good	good	good	OPG097:264-345	false
PP_000VD8E	https://pathoplexus.org/seq/PP_000VD8E	PP_000VD8E.1	https://pathoplexus.org/seq/PP_000VD8E.1	OP623590.1	https://www.ncbi.nlm.nih.gov/nuccore/OP623590.1	BOL-UNIMOL-MPX-293130-L	2022-09-03	South America	Colombia	Bolivar CO		197065	Homo sapiens	2022-10-13	2024-12-09		Loyola et al.	Loyola, S.; Fernandez-Ruiz, M.; Torres-Pacheco, J.; Franco-Munoz, C.; Laiton-Donato, K.; Ruiz-Moreno, H.; Mercado-Reyes, M.; Gomez-Camargo, D.	Universidad de Cartagena, Laboratorio de Investigacion Molecular (UNIMOL)	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		Colombia/PP_000VD8E.1/2022-09-03	Automated Ingest from INSDC/NCBI Virus by Loculus	1	https://pathoplexus.org/group/1	INSDC	IIb	sh2017	B.1.15	0.8557875147685957	28340	66	0	0	mediocre	good	good	good	good		false
PP_000VLNC	https://pathoplexus.org/seq/PP_000VLNC	PP_000VLNC.1	https://pathoplexus.org/seq/PP_000VLNC.1	OP693653.1	https://www.ncbi.nlm.nih.gov/nuccore/OP693653.1	DC_INS_MPX_0719_L	2022-08-29	South America	Colombia	Cundinamarca	Bogota (Cundinamarca)	194050	Homo sapiens	2022-10-21	2024-12-09		Laiton-Donato et al.	Laiton-Donato, K.; Alvarez-Diaz, D. A.; Franco-Munoz, C.; Ruiz-Moreno, H. A.; Rojas-Estevez, P.; Rosales, A.; Martinez, D.; Flores, A.; Prieto, F.; Walteros, D.; Gomez, S.; Mercado-Reyes, M.	Instituto Nacional de Salud, Direccion de Investigacion en Salud Publica	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		Colombia/PP_000VLNC.1/2022-08-29	Automated Ingest from INSDC/NCBI Virus by Loculus	1	https://pathoplexus.org/group/1	INSDC	IIb	sh2017	B.1.16	0.9601184530117793	4747	68	0	1	good	good	good	good	good		false
PP_000VQWS	https://pathoplexus.org/seq/PP_000VQWS	PP_000VQWS.1	https://pathoplexus.org/seq/PP_000VQWS.1	OP748958.1	https://www.ncbi.nlm.nih.gov/nuccore/OP748958.1	Monkeypox virus/Human/USA/CA-LACPHL-MA00272/2022	2022-07-18	North America	USA			195591	Homo sapiens	2022-11-01	2024-12-09		Hemarajata et al.	Hemarajata, P.; Green, N. M.; Garrigues, J. M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		USA/PP_000VQWS.1/2022-07-18	Automated Ingest from INSDC/NCBI Virus by Loculus	1	https://pathoplexus.org/group/1	INSDC	IIb	sh2017	B.1.18	0.9772018518424616	2948	70	0	1	good	good	good	good	good		false
PP_000VRN7	https://pathoplexus.org/seq/PP_000VRN7	PP_000VRN7.2	https://pathoplexus.org/seq/PP_000VRN7.2	OP752111.1	https://www.ncbi.nlm.nih.gov/nuccore/OP752111.1	MPXV_USA_2022_NY0033	2022-08-XX	North America	USA	New York		197219	Homo sapiens	2022-11-01	2025-02-03	SRR22110845	Gigante et al.	Gigante, C. M.; Ruiz, V.; Zhao, H.; Batra, D.; Hetrick, E. E.; Howard, D. T.; Kovar, L.; Seabolt, M. H.; Morrison, S. S.; Desch, M.; Knipe, K.; Weigand, M. R.; Sheth, M.; Burgin, A.; Burroughs, M.; Lee, J.; Wilkins, K.; McCollum, A.; Hutson, C.; Davidson, W.; Rao, A.; Wang, J.; Li, Y.	CDC, DHCPP-PRB	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		USA/PP_000VRN7.2/2022-08	Automated Ingest from INSDC/NCBI Virus by Loculus	1	https://pathoplexus.org/group/1	INSDC	IIb	sh2017	B.1	0.999954363137585	9	72	0	5	good	good	good	good	good		false
PP_000W69H	https://pathoplexus.org/seq/PP_000W69H	PP_000W69H.1	https://pathoplexus.org/seq/PP_000W69H.1	OP959059.1	https://www.ncbi.nlm.nih.gov/nuccore/OP959059.1	BOL-UNIMOL-MPX-293420-L	2022-10-27	South America	Colombia	Bolivar CO		194977	Homo sapiens	2022-12-06	2024-12-09		Loyola et al.	Loyola, S.; Fernandez-Ruiz, M.; Torres-Pacheco, J.; Franco-Munoz, C.; Laiton-Donato, K.; Ruiz-Moreno, H.; Mercado-Reyes, M.; Gomez-Camargo, D.	Universidad de Cartagena, Laboratorio de Investigacion Molecular (UNIMOL)	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		Colombia/PP_000W69H.1/2022-10-27	Automated Ingest from INSDC/NCBI Virus by Loculus	1	https://pathoplexus.org/group/1	INSDC	IIb	sh2017	B.1.2	0.7939191416213256	38454	53	0	0	mediocre	good	good	good	good		false
PP_000XBT7	https://pathoplexus.org/seq/PP_000XBT7	PP_000XBT7.1	https://pathoplexus.org/seq/PP_000XBT7.1	OQ469281.1	https://www.ncbi.nlm.nih.gov/nuccore/OQ469281.1	NY-NYCPHL-001109	2022-07-XX	North America	USA	Ny, New York City		196508	Homo sapiens	2023-02-26	2024-12-09		Clabby et al.	Clabby, T. T.; Amin, H. S.; Wang, J. C.; Taki, F.; Su, M.; Rahat, A.; De La Cruz, N.; Olsen, A.; Thi, C.; Silver, S.; Akther, S.; Chowdhury, M.; Omoregie, E.; Hughes, S.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		USA/PP_000XBT7.1/2022-07	Automated Ingest from INSDC/NCBI Virus by Loculus	1	https://pathoplexus.org/group/1	INSDC	IIb	sh2017	B.1.11	0.9886769873585891	1555	71	0	2	good	good	good	good	good		false
PP_000XHZP	https://pathoplexus.org/seq/PP_000XHZP	PP_000XHZP.1	https://pathoplexus.org/seq/PP_000XHZP.1	OQ504452.1	https://www.ncbi.nlm.nih.gov/nuccore/OQ504452.1	NY-NYCPHL-000510	2022-07-XX	North America	USA	Ny, New York City		195640	Homo sapiens	2023-02-28	2024-12-09		Wang et al.	Wang, J. C.; Amin, H. S.; Clabby, T. T.; Taki, F.; Su, M.; Rahat, A.; De La Cruz, N.; Olsen, A.; Thi, C.; Silver, S.; Akther, S.; Chowdhury, M.; Omoregie, E.; Hughes, S.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		USA/PP_000XHZP.1/2022-07	Automated Ingest from INSDC/NCBI Virus by Loculus	1	https://pathoplexus.org/group/1	INSDC	IIb	sh2017	B.1	0.9644793087536573	5471	69	0	2	good	good	good	good	good	OPG038:31-221	false
PP_000XMJF	https://pathoplexus.org/seq/PP_000XMJF	PP_000XMJF.1	https://pathoplexus.org/seq/PP_000XMJF.1	OQ565463.1	https://www.ncbi.nlm.nih.gov/nuccore/OQ565463.1	NY-NYCPHL-000829	2022-07-XX	North America	USA	Ny, New York City		196440	Homo sapiens	2023-03-08	2024-12-09		Clabby et al.	Clabby, T. T.; Amin, H. S.; Wang, J. C.; Taki, F.; Su, M.; Rahat, A.; De La Cruz, N.; Olsen, A.; Thi, C.; Silver, S.; Akther, S.; Chowdhury, M.; Omoregie, E.; Hughes, S.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		USA/PP_000XMJF.1/2022-07	Automated Ingest from INSDC/NCBI Virus by Loculus	1	https://pathoplexus.org/group/1	INSDC	IIb	sh2017	B.1.14	0.9856142468142934	2083	70	0	1	good	good	good	good	good		false
PP_000Y49F	https://pathoplexus.org/seq/PP_000Y49F	PP_000Y49F.1	https://pathoplexus.org/seq/PP_000Y49F.1	OR086950.1	https://www.ncbi.nlm.nih.gov/nuccore/OR086950.1	MPXV/UZ_REGA_141/Belgium/2022	2022-07-05	Europe	Belgium			197423	Homo sapiens	2023-06-11	2024-12-09		Vanmechelen et al.	Vanmechelen, B.; Wawina-Bokalanga, T.; Logist, A.-S.; Bloemen, M.; Maes, P.	KU Leuven, Microbiology, Immunology and Transplantation	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		Belgium/PP_000Y49F.1/2022-07-05	Automated Ingest from INSDC/NCBI Virus by Loculus	1	https://pathoplexus.org/group/1	INSDC	IIb	sh2017	B.1.3	0.9649661019527507	6809	64	0	1	good	good	good	good	good		false
PP_000YNFK	https://pathoplexus.org/seq/PP_000YNFK	PP_000YNFK.1	https://pathoplexus.org/seq/PP_000YNFK.1	OR449720.1	https://www.ncbi.nlm.nih.gov/nuccore/OR449720.1	MPXV/Germany/2022/ON/RKI1005	2022-07-XX	Europe	Germany			190625	Homo sapiens	2023-08-22	2024-12-09		Brinkmann et al.	Brinkmann, A.; Pape, K.; Kohl, C.; Schrick, L.; Michel, J.; Schaade, L.; Nitsche, A.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		Germany/PP_000YNFK.1/2022-07	Automated Ingest from INSDC/NCBI Virus by Loculus	1	https://pathoplexus.org/group/1	INSDC	IIb	sh2017	B.1	0.9643626812163745	518	62	0	2	good	good	good	good	good	OPG193:264-268	false
PP_000YV40	https://pathoplexus.org/seq/PP_000YV40	PP_000YV40.1	https://pathoplexus.org/seq/PP_000YV40.1	OR499998.1	https://www.ncbi.nlm.nih.gov/nuccore/OR499998.1	MPXV/Human/USA/CA-LACPHL-MA00542/2023	2023-06-22	North America	USA			195430	Homo sapiens	2023-09-05	2024-12-09		Garrigues et al.	Garrigues, J. M.; Green, N. M.	Los Angeles County Public Health Laboratories	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		USA/PP_000YV40.1/2023-06-22	Automated Ingest from INSDC/NCBI Virus by Loculus	1	https://pathoplexus.org/group/1	INSDC	IIb	sh2017	B.1.20	0.9541704486103575	7330	75	2	3	good	good	good	good	good		false
